종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률,기준일
37550K,DL이앤씨우,15770,-230,-1.44,,,,,,,550,3.49,20241023
068790,DMS,5490,10,0.18,829.0,6.62,,,13160.0,0.42,90,1.64,20241023
007340,DN오토모티브,17590,180,1.03,6386.0,2.75,,,26478.0,0.66,600,3.41,20241023
004840,DRB동일,4570,35,0.77,798.0,5.73,,,19664.0,0.23,100,2.19,20241023
241520,DSC인베스트먼트,2870,35,1.23,543.0,5.29,,,3895.0,0.74,40,1.39,20241023
155660,DSR,3850,-50,-1.28,1093.0,3.52,,,13467.0,0.29,60,1.56,20241023
069730,DSR제강,3610,-15,-0.41,899.0,4.02,,,13555.0,0.27,60,1.66,20241023
017860,DS단석,68000,1000,1.49,7966.0,8.54,,,47319.0,1.44,0,0.0,20241023
180400,DXVX,2395,40,1.7,,,,,608.0,3.94,0,0.0,20241023
017940,E1,75700,300,0.4,36872.0,2.05,24446.0,3.1,280943.0,0.27,5150,6.8,20241023
245620,EDGC,415,0,0.0,,,,,324.0,1.28,0,0.0,20241023
037370,EG,7140,70,0.99,,,,,6927.0,1.03,0,0.0,20241023
050120,ES큐브,1800,57,3.27,,,,,6161.0,0.29,0,0.0,20241023
383220,F&F,60700,-1100,-1.78,11144.0,5.45,10579.0,5.74,33834.0,1.79,1700,2.8,20241023
007700,F&F홀딩스,13100,-300,-2.24,3130.0,4.19,,,54668.0,0.24,400,3.05,20241023
214270,FSN,2130,120,5.97,,,,,2272.0,0.94,0,0.0,20241023
130500,GH신소재,3040,0,0.0,148.0,20.54,,,5394.0,0.56,0,0.0,20241023
114090,GKL,10780,10,0.09,709.0,15.2,930.0,11.59,6658.0,1.62,353,3.27,20241023
078930,GS,42200,-250,-0.59,13737.0,3.07,13391.0,3.15,142065.0,0.3,2500,5.92,20241023
083450,GST,15440,310,2.05,1985.0,7.78,,,12539.0,1.23,500,3.24,20241023
006360,GS건설,18070,-480,-2.59,,,3481.0,5.19,50825.0,0.36,0,0.0,20241023
001250,GS글로벌,3365,10,0.3,337.0,9.99,,,5113.0,0.66,25,0.74,20241023
007070,GS리테일,21000,300,1.45,173.0,121.39,2127.0,9.87,39235.0,0.54,500,2.38,20241023
078935,GS우,38550,0,0.0,,,,,,,2550,6.61,20241023
297890,HB솔루션,4030,50,1.26,1137.0,3.54,,,3319.0,1.21,30,0.74,20241023
440290,HB인베스트먼트,1957,57,3.0,444.0,4.41,,,2922.0,0.67,0,0.0,20241023
078150,HB테크놀러지,2405,30,1.26,983.0,2.45,,,3503.0,0.69,20,0.83,20241023
012630,HDC,10830,-40,-0.37,2147.0,5.04,,,49804.0,0.22,300,2.77,20241023
039570,HDC랩스,7970,0,0.0,573.0,13.91,,,11253.0,0.71,450,5.65,20241023
089470,HDC현대EP,3950,-30,-0.75,759.0,5.2,,,11685.0,0.34,140,3.54,20241023
294870,HDC현대산업개발,20800,-450,-2.12,2678.0,7.77,4256.0,4.89,46876.0,0.44,700,3.37,20241023
009540,HD한국조선해양,196800,1900,0.97,3135.0,62.78,20771.0,9.47,140052.0,1.41,0,0.0,20241023
267250,HD현대,81100,400,0.5,3743.0,21.67,13999.0,5.79,103689.0,0.78,3700,4.56,20241023
267270,HD현대건설기계,53400,-700,-1.29,7659.0,6.97,8153.0,6.55,86604.0,0.62,700,1.31,20241023
443060,HD현대마린솔루션,126900,2800,2.26,3778.0,33.59,5260.0,24.13,5999.0,21.15,2500,1.97,20241023
071970,HD현대마린엔진,20750,-850,-3.94,1108.0,18.73,1081.0,19.19,7893.0,2.63,0,0.0,20241023
010620,HD현대미포,109100,1500,1.39,,,5307.0,20.56,49396.0,2.21,0,0.0,20241023
322000,HD현대에너지솔루션,22100,200,0.91,,,735.0,30.06,33175.0,0.67,0,0.0,20241023
042670,HD현대인프라코어,7490,-40,-0.53,1159.0,6.46,1260.0,5.95,9097.0,0.82,110,1.47,20241023
267260,HD현대일렉트릭,338500,9000,2.73,7200.0,47.01,18354.0,18.44,29121.0,11.62,1000,0.3,20241023
329180,HD현대중공업,198100,4200,2.17,278.0,712.59,9015.0,21.97,58660.0,3.38,0,0.0,20241023
097230,HJ중공업,2285,-125,-5.19,,,,,4093.0,0.56,0,0.0,20241023
195940,HK이노엔,46800,-500,-1.06,1666.0,28.09,2889.0,16.2,42487.0,1.1,350,0.75,20241023
014790,HL D&I,2550,85,3.45,370.0,6.89,947.0,2.69,9721.0,0.26,0,0.0,20241023
028300,HLB,68100,-1200,-1.73,,,,,4034.0,16.88,0,0.0,20241023
003580,HLB글로벌,4115,-120,-2.83,,,,,1166.0,3.53,0,0.0,20241023
278650,HLB바이오스텝,2260,-10,-0.44,,,,,1300.0,1.74,0,0.0,20241023
067630,HLB생명과학,9090,20,0.22,,,,,2209.0,4.11,0,0.0,20241023
024850,HLB이노베이션,3710,250,7.23,,,,,858.0,4.32,0,0.0,20241023
047920,HLB제약,20300,-500,-2.4,,,,,2908.0,6.98,0,0.0,20241023
115450,HLB테라퓨틱스,9150,50,0.55,,,,,2104.0,4.35,0,0.0,20241023
046210,HLB파나진,2950,-65,-2.16,,,,,1550.0,1.9,0,0.0,20241023
204320,HL만도,36650,-650,-1.74,2890.0,12.68,5636.0,6.5,47505.0,0.77,600,1.64,20241023
060980,HL홀딩스,35700,-250,-0.7,5237.0,6.82,9300.0,3.84,105173.0,0.34,2000,5.6,20241023
011200,HMM,17050,-110,-0.64,1667.0,10.23,2123.0,8.03,31115.0,0.55,700,4.11,20241023
403870,HPSP,31500,2300,7.88,990.0,31.82,1402.0,22.47,3350.0,9.4,150,0.48,20241023
036640,HRS,5250,10,0.19,758.0,6.93,933.0,5.62,7165.0,0.73,200,3.81,20241023
035000,HS애드,6430,40,0.63,1000.0,6.43,,,11276.0,0.57,450,7.0,20241023
002460,HS화성,8990,60,0.67,2302.0,3.91,,,40704.0,0.22,500,5.56,20241023
487570,HS효성,40100,-100,-0.25,,,,,,,0,0.0,20241023
298050,HS효성첨단소재,259000,2000,0.78,7957.0,32.55,25120.0,10.31,151670.0,1.71,6500,2.51,20241023
439730,IBKS제20호스팩,2180,-35,-1.58,,,,,,,0,0.0,20241023
442770,IBKS제21호스팩,2200,-5,-0.23,,,,,,,0,0.0,20241023
448760,IBKS제22호스팩,2200,5,0.23,,,,,,,0,0.0,20241023
467930,IBKS제23호스팩,2195,25,1.15,,,,,,,0,0.0,20241023
469480,IBKS제24호스팩,2195,0,0.0,,,,,,,0,0.0,20241023
003560,IHQ,10760,0,0.0,6784.0,1.59,,,6389.0,1.68,0,0.0,20241023
095340,ISC,61800,3900,6.74,749.0,82.51,3121.0,19.8,23130.0,2.67,200,0.32,20241023
175330,JB금융지주,17150,-100,-0.58,2907.0,5.9,3434.0,4.99,26120.0,0.66,855,4.99,20241023
234080,JW생명과학,11110,60,0.54,1818.0,6.11,1762.0,6.31,10294.0,1.08,500,4.5,20241023
067290,JW신약,1603,0,0.0,,,,,331.0,4.84,0,0.0,20241023
001060,JW중외제약,28550,-250,-0.87,1504.0,18.98,2928.0,9.75,10784.0,2.65,400,1.4,20241023
001067,JW중외제약2우B,58900,-600,-1.01,,,,,,,400,0.68,20241023
001065,JW중외제약우,30950,50,0.16,,,,,,,425,1.37,20241023
096760,JW홀딩스,3045,-55,-1.77,266.0,11.45,,,1716.0,1.77,105,3.45,20241023
035900,JYP Ent.,52900,1500,2.92,3186.0,16.6,3077.0,17.19,11897.0,4.45,574,1.09,20241023
318000,KBG,5650,-10,-0.18,541.0,10.44,,,4834.0,1.17,100,1.77,20241023
024840,KBI메탈,2805,25,0.9,2.0,1402.5,,,3450.0,0.81,0,0.0,20241023
105560,KB금융,94300,200,0.21,11580.0,8.14,13509.0,6.98,150344.0,0.63,3060,3.24,20241023
024120,KB오토시스,3570,35,0.99,92.0,38.8,,,9459.0,0.38,150,4.2,20241023
455250,KB제25호스팩,2640,0,0.0,,,,,,,0,0.0,20241023
458320,KB제26호스팩,2265,25,1.12,,,,,,,0,0.0,20241023
464680,KB제27호스팩,1995,2,0.1,,,,,,,0,0.0,20241023
476470,KB제28호스팩,2105,15,0.72,,,,,,,0,0.0,20241023
478390,KB제29호스팩,2040,-10,-0.49,,,,,,,0,0.0,20241023
486630,KB제30호스팩,2020,0,0.0,,,,,,,0,0.0,20241023
002380,KCC,255500,-5000,-1.92,28917.0,8.84,52242.0,4.89,704004.0,0.36,8000,3.13,20241023
021320,KCC건설,4300,50,1.18,519.0,8.29,872.0,4.93,22370.0,0.19,130,3.02,20241023
344820,KCC글라스,39400,-100,-0.25,5125.0,7.69,5597.0,7.04,93331.0,0.42,2200,5.58,20241023
036670,KCI,7530,-80,-1.05,1022.0,7.37,,,9891.0,0.76,250,3.32,20241023
009070,KCTC,4505,-40,-0.88,897.0,5.02,,,9122.0,0.49,70,1.55,20241023
009440,KC그린홀딩스,859,11,1.3,,,,,6467.0,0.13,50,5.82,20241023
119650,KC코트렐,416,-17,-3.93,,,,,801.0,0.52,0,0.0,20241023
044180,KD,451,-12,-2.59,,,,,1219.0,0.37,0,0.0,20241023
092220,KEC,884,-1,-0.11,,,,,1738.0,0.51,20,2.26,20241023
046440,KG모빌리언스,4450,65,1.48,1176.0,3.78,,,9255.0,0.48,220,4.94,20241023
003620,KG모빌리티,4995,-25,-0.5,48.0,104.06,,,5791.0,0.86,0,0.0,20241023
016380,KG스틸,6680,160,2.45,2342.0,2.85,,,18893.0,0.35,200,2.99,20241023
151860,KG에코솔루션,5310,90,1.72,1844.0,2.88,,,24975.0,0.21,120,2.26,20241023
